Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Male,23,Jawa,IPA,3.74,3,3,3,2,3,2,3,3,2,3,3,4,4,4,4,3,4,3,3,3,4,95,85,94,87,127,92,95,9,7,8,10,12,10,10
Female,20,Jawa,Others,3.55,3,3,4,4,4,4,2,3,3,4,2,5,4,2,3,3,4,2,3,4,4,92,122,85,121,130,95,122,10,12,8,11,9,9,11
Female,18,Jawa,IPA,3.34,3,4,3,4,4,3,3,2,2,5,4,4,4,4,5,4,4,3,4,4,3,94,124,95,124,128,126,120,10,11,7,13,13,11,11
Female,19,Luar Jawa,IPS,3.4,3,2,3,4,3,3,2,3,2,2,2,2,3,3,3,4,4,2,4,3,3,92,125,85,77,86,129,86,8,10,7,6,9,10,10
Male,19,Jawa,IPS,3.5,4,4,5,5,5,5,3,5,4,4,5,5,4,3,5,5,5,2,4,4,5,123,125,94,123,128,122,127,13,15,12,14,12,12,13
Female,19,Luar Jawa,IPA,3.84,4,4,4,4,4,4,3,3,4,3,3,2,4,4,4,4,4,4,4,4,3,120,121,100,87,122,124,130,12,12,10,8,12,12,11
Male,18,Jawa,IPA,3.7,4,4,3,2,3,2,2,2,2,3,4,3,3,4,3,3,2,2,3,3,3,125,88,88,95,86,99,91,11,7,6,10,10,7,9
Male,19,Jawa,IPA,3.5,2,2,3,2,3,3,2,4,4,4,3,5,3,3,3,3,4,3,3,2,2,88,85,86,125,92,89,84,7,8,10,12,9,10,7
Male,19,Luar Jawa,IPA,3.4,4,3,3,2,3,2,3,3,2,3,4,3,3,3,3,4,3,3,3,3,4,129,83,90,84,93,125,99,10,7,8,10,9,10,10
Male,20,Luar Jawa,IPA,3.55,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,95,91,90,91,94,96,90,9,10,9,9,9,9,9
Female,19,Jawa,IPA,3.78,3,4,4,3,4,3,3,4,5,5,5,4,3,3,3,3,5,3,3,3,5,93,94,92,120,97,91,87,11,10,12,14,9,11,11
Male,18,Luar Jawa,IPS,3.64,2,2,2,3,3,3,3,2,2,4,3,3,3,4,4,4,4,4,3,3,3,79,89,95,122,89,124,86,6,9,7,10,11,12,9
Female,18,Jawa,IPA,3.53,4,4,4,4,4,3,4,5,5,5,5,3,4,4,5,4,5,4,4,5,4,119,127,122,109,128,120,123,12,11,14,13,13,13,13
Female,18,Jawa,Others,3.7,3,3,3,3,4,4,3,4,5,3,3,3,4,3,3,4,3,3,3,4,3,97,92,90,92,122,125,122,9,11,12,9,10,10,10
Female,18,Luar Jawa,IPA,3.5,4,4,3,4,4,4,3,5,2,4,4,4,4,3,4,3,4,3,4,3,2,123,126,93,128,118,90,89,11,12,10,12,11,10,9
Female,18,Jawa,IPA,3.6,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,4,4,99,124,109,117,90,95,122,11,12,11,11,10,10,12
Female,20,Jawa,Others,3.8,5,4,4,2,3,3,3,5,5,5,5,5,2,3,3,3,5,4,5,2,3,128,82,94,126,85,93,80,13,8,13,15,8,12,10
Male,21,Jawa,Others,3.22,4,4,5,4,3,2,4,5,5,5,5,5,3,3,3,3,3,2,3,2,4,126,123,118,126,87,95,82,13,9,14,15,9,8,9
Female,20,Luar Jawa,IPA,3.5,3,3,4,3,3,2,3,4,3,5,5,4,4,3,4,3,3,5,4,3,3,91,87,89,128,127,90,88,10,8,10,14,11,11,10
Female,18,Luar Jawa,Others,3,3,3,3,3,5,3,3,4,5,4,2,4,3,3,3,4,5,3,5,4,4,93,96,90,130,94,121,123,9,11,12,10,9,12,13
Female,20,Jawa,IPS,2.75,2,2,2,2,3,2,3,3,4,2,2,3,2,2,2,2,2,2,2,3,3,88,110,96,86,84,83,95,6,7,10,7,6,6,8
Female,18,Jawa,IPA,4,4,4,5,4,4,4,4,5,5,5,5,5,4,4,5,4,5,4,4,4,5,120,120,131,123,122,120,119,13,12,14,15,13,13,13
Female,19,Luar Jawa,IPS,3.86,4,4,3,3,5,4,3,5,4,4,4,4,4,3,5,4,4,3,4,4,2,121,84,88,125,120,125,131,11,12,12,12,12,11,10
Female,19,Jawa,IPS,3.75,4,4,3,3,5,3,3,4,4,5,5,5,4,4,4,2,3,2,4,3,3,128,92,95,126,122,86,92,11,11,11,15,12,7,10
Female,21,Luar Jawa,Others,3.7,3,3,3,3,4,3,2,5,2,2,2,3,3,3,3,2,2,2,3,3,3,88,92,86,82,93,78,87,9,10,9,7,9,6,9
Female,19,Luar Jawa,IPA,3.88,4,4,4,4,4,4,3,4,4,4,3,5,4,3,3,4,4,3,3,3,3,121,126,92,125,131,122,92,12,12,11,12,10,11,9
Male,21,Jawa,Others,3.45,4,4,4,4,3,5,2,3,3,4,3,4,5,3,5,4,5,4,5,5,3,128,126,99,123,133,123,128,12,12,8,11,13,13,13
Male,19,Luar Jawa,IPA,3.19,4,3,4,4,5,4,5,5,5,5,5,5,3,4,5,4,5,4,4,5,4,126,127,123,120,91,127,126,11,13,15,15,12,13,13
Female,19,Jawa,IPA,3.84,3,3,2,3,4,2,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,98,90,94,116,119,90,126,8,9,11,11,12,10,11
Male,20,Jawa,IPA,3.25,4,4,3,4,4,4,4,4,2,4,4,4,5,5,5,3,4,3,4,4,5,119,120,123,129,121,87,125,11,12,10,12,15,10,13
Female,19,Jawa,IPA,3.63,3,3,4,2,3,2,4,5,3,3,3,4,4,3,3,2,4,2,1,1,2,88,83,124,92,125,81,75,10,7,12,10,10,8,4
Female,20,Jawa,Others,3.9,3,3,3,4,3,3,4,4,3,4,3,4,4,3,4,3,3,2,4,4,3,92,125,127,122,121,87,123,9,10,11,11,11,8,11
Female,18,Jawa,IPS,3.96,4,3,3,2,3,2,2,4,4,4,3,3,3,3,4,2,3,2,4,4,3,126,80,79,116,91,84,122,10,7,10,10,10,7,11
Female,18,Jawa,IPS,3.52,3,3,3,3,3,3,3,3,2,4,3,2,3,3,3,2,3,3,3,3,3,90,88,93,124,87,84,87,9,9,8,9,9,8,9
Male,18,Luar Jawa,IPS,3.6,4,3,4,3,3,3,3,3,4,3,4,4,3,2,4,3,3,3,3,3,3,118,95,92,94,95,90,85,11,9,10,11,9,9,9
Male,21,Luar Jawa,Others,3.15,3,2,2,3,4,3,2,4,4,3,3,4,3,2,3,2,3,2,3,2,4,98,88,83,92,90,86,78,7,10,10,10,8,7,9
Female,20,Jawa,IPA,3.75,4,5,3,2,3,2,3,4,3,3,2,2,4,3,3,2,2,2,4,4,4,127,82,95,93,128,79,124,12,7,10,7,10,6,12
