Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Female,19,Jawa,IPA,3.87,3,3,3,3,3,2,3,4,5,4,3,5,4,4,4,2,4,3,2,4,4
Female,19,Jawa,IPA,3.4,5,4,3,4,5,4,4,5,4,4,4,5,5,5,5,5,5,2,5,5,4
Male,21,Luar Jawa,IPA,3.38,4,4,4,4,4,3,4,5,5,4,4,4,5,5,4,3,4,3,3,3,3
Male,20,Jawa,IPA,3.5,3,3,3,3,3,3,3,5,5,3,3,4,3,3,3,5,5,5,3,3,5
Male,20,Luar Jawa,IPA,3.84,3,4,4,3,4,3,3,4,4,4,5,5,3,3,4,4,5,5,3,3,3
Female,20,Jawa,IPS,3.8,3,3,2,2,4,2,3,5,5,4,3,3,3,3,3,3,4,2,3,3,3
Female,18,Jawa,Others,3.6,3,2,3,3,4,4,3,4,2,3,4,3,3,3,4,3,3,2,4,4,5
Female,18,Luar Jawa,IPS,2.94,3,3,2,5,5,5,5,5,5,4,3,5,3,3,5,4,5,3,3,3,2
Male,22,Jawa,Others,2.6,4,5,5,3,3,2,3,4,4,3,3,5,3,3,3,1,2,1,3,5,4
Female,19,Luar Jawa,IPA,3.59,3,4,4,3,2,2,1,2,1,1,1,1,3,4,4,2,1,1,4,3,5
Female,19,Luar Jawa,IPA,3,3,3,2,2,2,2,2,3,4,3,3,2,3,3,4,3,4,3,5,3,2
Male,21,Jawa,IPA,3.78,4,5,4,5,5,3,3,3,2,4,4,3,5,5,4,3,4,3,5,5,5
Male,19,Jawa,IPS,3.2,4,3,2,3,3,3,3,5,4,4,4,5,3,4,5,4,4,5,5,2,3
Male,19,Luar Jawa,IPS,2,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3
Male,20,Jawa,IPS,2.97,4,2,2,1,2,2,3,4,5,2,2,2,3,3,3,4,2,2,2,3,2
Male,19,Jawa,Others,3,2,2,2,2,5,2,5,2,4,3,2,2,3,3,4,1,2,2,2,1,1
Male,19,Jawa,IPA,3.34,2,2,1,3,2,3,3,3,3,2,2,2,2,2,1,2,3,2,3,3,2
Male,18,Jawa,IPA,3.1,4,3,3,4,4,2,4,5,5,4,3,4,3,4,3,2,3,3,4,4,4
Female,19,Jawa,IPA,3.67,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,5,3,3,2,4
Female,20,Luar Jawa,IPA,3.71,3,3,3,4,4,3,3,2,2,4,4,4,4,3,4,3,4,3,4,3,4
Male,18,Luar Jawa,IPS,3.74,4,3,2,4,4,4,3,5,5,5,3,5,3,3,5,2,5,5,3,1,1
Female,18,Jawa,IPA,3.8,3,4,3,4,4,4,3,3,2,2,3,4,4,4,4,3,4,2,4,4,4
Female,19,Jawa,IPA,3.74,3,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4
Female,19,Jawa,Others,3.45,2,2,2,3,4,3,2,1,1,3,3,2,5,5,4,2,2,1,3,2,1
Female,20,Jawa,Others,3.4,3,3,3,3,3,3,1,2,1,1,2,3,2,2,3,1,1,1,2,2,3
Female,19,Luar Jawa,Others,3.34,3,3,3,3,4,3,2,4,4,4,4,3,4,3,3,2,3,3,4,3,4
Female,20,Jawa,IPS,3.16,4,3,3,3,3,3,4,4,4,4,3,2,3,3,3,3,2,3,3,3,3
Female,20,Jawa,IPA,3.33,4,4,3,3,4,3,4,5,5,4,4,4,5,4,4,2,5,5,1,2,4
Female,19,Jawa,IPA,3.3,3,4,3,4,5,3,3,4,4,4,3,4,3,3,3,3,4,2,3,3,3
Female,18,Jawa,IPA,3.9,4,4,4,3,5,4,3,2,3,2,2,3,4,4,4,4,3,1,5,4,2
Male,19,Jawa,Others,3,3,4,4,3,4,4,4,3,4,5,4,5,4,4,4,4,3,3,3,3,4
Male,18,Luar Jawa,IPS,3.33,4,3,3,3,5,2,3,5,5,3,3,5,3,3,2,2,3,3,4,2,3
Male,19,Luar Jawa,IPA,3.8,3,3,2,1,2,1,2,2,2,4,4,3,1,1,2,2,2,2,2,2,3
Female,18,Luar Jawa,IPA,3.47,3,3,3,4,5,3,3,4,2,4,2,4,3,3,4,2,3,2,2,2,5
Female,20,Luar Jawa,IPS,3.54,2,3,4,3,4,3,4,3,4,3,2,4,4,3,4,2,3,3,4,4,2
Male,19,Jawa,IPS,3.4,3,2,2,3,4,3,3,3,4,5,4,4,3,3,3,4,4,4,3,3,3
Male,19,Jawa,IPS,3.2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
Female,19,Jawa,IPA,3.13,4,3,3,5,4,4,2,5,5,3,2,5,2,3,4,3,5,3,5,4,2
Male,19,Jawa,IPS,3.4,4,5,3,2,3,2,2,4,5,4,3,3,4,3,4,3,3,2,3,4,4
Male,18,Jawa,IPS,3.3,4,4,4,4,3,3,5,5,5,4,4,3,4,4,3,2,5,3,4,4,3
Female,19,Luar Jawa,IPA,3.66,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,5,5,4
Female,18,Luar Jawa,IPA,3.65,3,4,3,2,5,3,3,3,3,5,2,2,3,4,5,4,3,3,3,3,3
Female,20,Jawa,IPA,3.5,4,4,3,3,4,3,3,5,5,3,4,4,3,4,3,4,5,2,3,3,3
Male,20,Jawa,IPA,3.7,3,3,2,4,3,2,4,5,5,5,3,5,2,3,3,2,4,2,2,2,5
Female,19,Jawa,IPA,3.56,4,4,3,5,3,2,3,5,5,5,5,3,4,3,3,4,5,4,4,3,4
Male,18,Jawa,IPA,3.3,4,2,3,3,3,1,1,1,1,3,4,3,2,4,4,2,3,2,5,5,4
Male,20,Jawa,IPA,3.7,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,4
Female,18,Luar Jawa,IPA,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4
Male,21,Jawa,IPA,3.54,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
Female,20,Jawa,Others,3.87,5,4,5,3,4,3,5,5,5,5,4,3,3,4,4,3,4,2,4,3,4
Male,19,Luar Jawa,IPS,3.2,3,3,4,3,3,3,3,3,3,4,4,5,3,3,4,4,4,3,3,4,3
Male,19,Jawa,IPA,3.89,4,4,4,4,4,4,4,3,5,3,3,5,5,5,5,4,5,4,4,4,4
Female,19,Luar Jawa,Others,3,4,3,3,4,4,4,4,4,4,3,3,2,4,3,3,3,4,3,4,4,4
Male,19,Luar Jawa,IPS,3.7,5,4,3,3,2,2,3,4,4,5,5,5,4,4,3,3,4,5,3,3,3
Female,19,Jawa,IPA,3.5,4,3,2,3,4,4,4,5,5,5,4,5,3,3,3,4,3,2,4,3,4
Male,19,Luar Jawa,IPA,3.02,3,3,4,2,2,3,2,5,5,4,4,5,3,3,3,1,2,2,5,3,2
Female,19,Jawa,IPA,3.65,3,3,3,3,4,3,4,5,5,4,4,4,4,4,3,4,4,4,3,4,3
Female,17,Luar Jawa,IPS,3,4,3,3,2,2,2,3,2,3,3,3,5,4,4,4,3,3,3,5,2,4
Female,20,Jawa,IPA,3.9,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4
Male,20,Luar Jawa,IPA,3.1,4,4,4,3,4,4,3,5,4,4,4,5,4,4,4,3,4,3,4,4,4
Female,20,Luar Jawa,IPA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Female,19,Luar Jawa,IPS,3.76,5,5,3,2,3,3,3,5,3,1,1,1,2,3,5,1,1,1,2,5,2
